X1;X2;X3;X4;XAntSigatoka;Sigatoka
23.46;93.13;317.00;1.95;4794.01;4892.12
24.89;93.01;127.40;1.62;4892.12;5172.96
24.83;92.03;66.00;1.80;5172.96;5545.53
24.32;87.69;20.00;1.77;5545.53;5625.52
23.47;93.31;114.40;1.61;5625.52;5348.21
23.81;89.65;36.80;2.18;5348.21;4839.36
24.37;89.65;28.40;1.77;4839.36;4954.79
24.12;90.56;45.40;2.23;4954.79;4918.36
24.33;89.85;32.60;1.92;4918.36;4284.14
24.20;91.72;37.60;1.76;4284.14;5046.72
24.24;93.86;205.00;1.42;5046.72;5263.94
24.74;88.27;5.60;2.19;5263.94;5185.98
24.73;90.36;60.20;1.72;5185.98;5108.02
26.03;88.90;8.00;2.04;5108.02;5215.55
25.35;93.10;111.00;1.45;5215.55;5258.94
25.28;88.15;2.20;2.13;5258.94;4981.17
26.22;90.37;4.00;1.67;4981.17;4471.26
26.16;90.37;38.00;1.55;4471.26;4608.29
25.42;94.01;71.20;1.17;4608.29;4779.46
25.52;92.30;32.60;1.43;4779.46;4679.81
26.16;90.35;3.80;1.99;4679.81;5572.99
26.13;89.30;2.00;1.41;5572.99;5224.88
26.20;90.11;6.80;1.40;5224.88;5292.85
26.12;94.26;204.00;1.65;5292.85;5257.95
26.26;92.37;56.00;1.21;5257.95;5312.01
25.88;93.76;69.40;0.90;5312.01;5356.17
25.63;93.35;61.60;0.87;5356.17;6632.38
25.37;90.46;89.80;1.04;6632.38;5944.89
26.55;89.38;16.60;1.34;5944.89;5828.09
25.90;92.31;25.40;0.68;5828.09;5098.62
25.47;94.57;105.60;0.66;5098.62;5407.82
25.65;93.73;85.20;0.75;5407.82;6023.66
26.06;90.01;24.40;0.60;6023.66;5716.22
25.77;91.10;16.60;0.59;5716.22;5154.48
25.80;90.10;1.20;0.64;5154.48;5802.22
25.83;90.85;29.60;0.99;5802.22;6468.06
26.32;90.53;23.80;0.85;6468.06;5216.15
25.94;91.13;9.80;0.66;5216.15;5930.48
