X1;X2;X3;X4;XAntSigatoka;Sigatoka
24.78;92.99;177.60;0.86;5267.54;5069.00
25.21;89.09;5.00;1.03;5069.00;5197.84
24.91;91.49;17.30;0.81;5197.84;5078.68
24.00;94.62;79.10;0.98;5078.68;4961.37
24.45;87.39;2.00;1.08;4961.37;4843.42
24.57;92.89;33.50;0.95;4843.42;4725.45
24.52;92.19;21.10;0.89;4725.45;5331.29
23.85;92.64;80.40;1.17;5331.29;4949.17
23.77;92.80;38.20;0.99;4949.17;5093.21
23.76;88.43;3.70;1.09;5093.21;4963.32
23.94;89.24;5.70;1.10;4963.32;5021.40
25.10;89.75;21.00;1.23;5021.40;5248.58
24.13;87.26;5.60;1.46;5248.58;5403.09
24.81;88.84;9.00;1.23;5403.09;4830.73
24.94;87.27;10.70;1.21;4830.73;4766.06
25.15;85.33;0.30;1.41;4766.06;4701.42
24.77;88.32;9.60;1.14;4701.42;4113.93
25.09;88.63;14.20;1.17;4113.93;4541.86
25.50;86.99;20.20;1.58;4541.86;4324.61
25.80;90.87;95.60;1.39;4324.61;4433.10
25.46;90.96;16.90;1.21;4433.10;4541.51
25.82;91.76;63.40;1.12;4541.51;4890.52
25.95;94.02;69.60;1.01;4890.52;5475.22
26.38;90.23;65.30;1.44;5475.22;5801.04
26.18;90.34;34.20;1.21;5801.04;5659.28
26.48;89.44;26.90;1.14;5659.28;5811.07
26.61;91.04;45.00;1.09;5811.07;5501.03
26.43;93.23;52.60;1.09;5501.03;5413.32
26.13;94.37;39.00;1.01;5413.32;5328.65
26.67;91.35;141.60;1.41;5328.65;5969.69
25.76;94.55;94.20;0.98;5969.69;5979.50
26.11;92.21;80.70;1.00;5979.50;6141.60
25.10;97.09;245.70;1.04;6141.60;5518.31
25.75;96.15;57.10;0.77;5518.31;5339.59
25.79;96.08;101.20;0.97;5339.59;5284.51
25.75;94.84;246.10;1.04;5284.51;5229.55
25.97;91.98;24.00;0.95;5229.55;4704.12
26.16;91.79;114.60;1.03;4704.12;4701.23
25.15;94.14;146.10;0.87;4701.23;5838.14
26.14;89.26;13.90;1.04;5838.14;5042.76
26.08;92.11;42.00;1.01;5042.76;4795.47
26.09;90.18;74.70;1.17;4795.47;4866.94
25.71;93.00;104.50;1.11;4866.94;4800.35
26.44;89.26;18.50;1.17;4800.35;5341.27
25.85;91.14;82.00;1.11;5341.27;5306.70
25.57;93.44;84.70;0.91;5306.70;5092.33
26.22;92.47;10.00;0.90;5092.33;5263.19
26.80;90.52;1.70;1.03;5263.19;5462.91
25.53;92.16;78.80;0.99;5462.91;5137.14
24.70;96.13;194.60;0.95;5137.14;5145.79
25.28;90.23;7.00;1.09;5145.79;5163.39
25.64;93.03;43.00;0.85;5163.39;5497.25
25.87;92.22;87.50;1.18;5497.25;5506.45
24.75;96.48;259.10;1.06;5506.45;4768.94
23.20;97.05;248.60;1.69;4768.94;5637.26
23.89;92.60;106.30;1.60;5637.26;5393.51
25.07;91.10;33.20;0.99;5393.51;5150.04
24.69;93.91;174.80;1.21;5150.04;4906.41
24.27;94.28;281.70;1.50;4906.41;5139.67
24.83;94.00;60.40;1.05;5139.67;4584.61
24.40;91.70;76.50;1.28;4584.61;4726.02
23.11;94.79;133.30;0.90;4726.02;4451.73
24.79;92.06;136.60;1.25;4451.73;5590.33
24.25;91.33;69.00;0.98;5590.33;4776.78
24.23;92.68;128.80;1.14;4776.78;4637.86
25.04;87.78;44.90;1.39;4637.86;4775.11
24.48;88.43;64.60;1.51;4775.11;4742.83
24.67;92.55;42.50;1.41;4742.83;4627.53
24.68;87.28;13.60;1.45;4627.53;5417.76
25.65;85.12;0.00;1.70;5417.76;5477.10
25.29;86.57;21.10;1.59;5477.10;5542.20
25.18;90.62;44.70;1.47;5542.20;4975.91
25.61;93.38;117.30;0.86;4975.91;4203.81
26.28;90.37;40.80;1.25;4203.81;4541.44
26.92;90.61;10.40;1.17;4541.44;5707.74
26.31;91.31;53.70;0.97;5707.74;5834.87
25.40;97.25;396.40;0.75;5834.87;5619.16
25.65;94.18;101.50;0.91;5619.16;5233.00
25.28;93.23;258.60;0.93;5233.00;5631.51
27.10;90.22;52.90;1.11;5631.51;6312.14
26.31;91.65;61.00;0.70;6312.14;5946.54
26.50;95.30;179.50;0.70;5946.54;5354.35
25.74;97.22;409.00;0.63;5354.35;5250.23
26.31;94.03;159.20;1.19;5250.23;5552.97
25.53;95.60;317.40;0.93;5552.97;5228.70
25.95;92.76;114.20;0.85;5228.70;5576.70
25.70;92.58;92.10;0.75;5576.70;5596.83
25.66;94.10;115.30;0.68;5596.83;5741.07
26.17;95.87;168.20;0.82;5741.07;5196.86
26.19;92.84;63.80;0.93;5196.86;4795.07
25.74;95.59;88.60;0.72;4795.07;5251.24
26.50;90.23;26.20;1.09;5251.24;5176.94
26.07;92.63;21.70;0.94;5176.94;5028.46
25.38;94.50;94.60;0.70;5028.46;4931.18
26.75;91.33;24.80;0.93;4931.18;5229.53
26.73;90.92;47.20;0.96;5229.53;5122.40
27.15;89.25;22.70;1.05;5122.40;5278.91
26.62;92.04;54.00;0.85;5278.91;5044.66
26.61;91.46;7.80;0.90;5044.66;5238.18
27.41;89.64;17.00;1.16;5238.18;5512.59
26.54;90.93;2.70;0.95;5512.59;5534.80
26.85;88.33;2.30;1.02;5534.80;5451.83
