Lugar;Algoritmo;RMSE;R2
28 Millas;Ridge regression;408.4549567;0.470313289
28 Millas;Linear regression;408.4553124;0.4703136
28 Millas;ElasticNet regression;408.471234;0.46849721
28 Millas;ElasticNet regression;408.4722653;0.456400372
28 Millas;ElasticNet regression;408.4925152;0.509500612
28 Millas;ElasticNet regression;408.4925152;0.509500612
28 Millas;ElasticNet regression;408.4925152;0.509500612
28 Millas;Ridge regression;408.5077854;0.534791559
28 Millas;Ridge regression;408.5077854;0.534791559
28 Millas;Ridge regression;408.5077854;0.534791559
28 Millas;Linear regression;408.5143098;0.534791311
28 Millas;Linear regression;408.5143098;0.534791311
28 Millas;Linear regression;408.5143098;0.534791311
28 Millas;ElasticNet regression;408.6084532;0.459733618
28 Millas;Ridge regression;408.6380813;0.47838795
28 Millas;Linear regression;408.6441878;0.478387418
28 Millas;ElasticNet regression;408.6584638;0.537506806
28 Millas;ElasticNet regression;408.6584638;0.537506806
28 Millas;ElasticNet regression;408.6584638;0.537506806
28 Millas;ElasticNet regression;408.6584638;0.537506806
28 Millas;ElasticNet regression;408.7219466;0.470873927
28 Millas;Ridge regression;408.7541561;0.468570352
28 Millas;Linear regression;408.7543999;0.468570663
28 Millas;SVR - linear kernel;408.7593321;0.50498446
28 Millas;Ridge regression;408.8515199;0.463187066
28 Millas;Linear regression;408.8515874;0.463187092
28 Millas;ElasticNet regression;408.8732338;0.457689382
28 Millas;ElasticNet regression;408.98843;0.459426695
28 Millas;Ridge regression;409.0194006;0.462944386
28 Millas;Linear regression;409.0194876;0.462944444
28 Millas;Ridge regression;409.0352978;0.469845556
28 Millas;Linear regression;409.0356817;0.469845916
28 Millas;ElasticNet regression;409.0651322;0.457151938
28 Millas;Ridge regression;409.0763905;0.479351578
28 Millas;Linear regression;409.0915826;0.479367378
28 Millas;Ridge regression;409.1088528;0.459295081
28 Millas;Linear regression;409.1089763;0.459295152
28 Millas;Ridge regression;409.1172469;0.47088284
28 Millas;Linear regression;409.1188297;0.470882961
28 Millas;Ridge regression;409.1952298;0.483261873
28 Millas;Linear regression;409.2119412;0.483270378
28 Millas;Ridge regression;409.260153;0.458619875
28 Millas;Linear regression;409.2602039;0.458619921
28 Millas;Ridge regression;409.307896;0.462263225
28 Millas;Linear regression;409.3138011;0.462267479
28 Millas;ElasticNet regression;409.4030874;0.529638621
28 Millas;ElasticNet regression;409.4030874;0.529638621
28 Millas;ElasticNet regression;409.4030874;0.529638621
28 Millas;ElasticNet regression;409.4595173;0.525089034
28 Millas;ElasticNet regression;409.4595173;0.525089034
28 Millas;ElasticNet regression;409.4595173;0.525089034
28 Millas;ElasticNet regression;409.4925939;0.530340589
28 Millas;ElasticNet regression;409.4925939;0.530340589
28 Millas;ElasticNet regression;409.4925939;0.530340589
28 Millas;ElasticNet regression;409.5065259;0.470456785
28 Millas;Ridge regression;409.5781765;0.524982807
28 Millas;Ridge regression;409.5781765;0.524982807
28 Millas;Ridge regression;409.5781765;0.524982807
28 Millas;ElasticNet regression;409.5801439;0.532574168
28 Millas;ElasticNet regression;409.5801439;0.532574168
28 Millas;ElasticNet regression;409.5801439;0.532574168
28 Millas;Linear regression;409.5896123;0.52498247
28 Millas;Linear regression;409.5896123;0.52498247
28 Millas;Linear regression;409.5896123;0.52498247
28 Millas;Ridge regression;409.593186;0.475369032
28 Millas;Linear regression;409.5948268;0.475368736
28 Millas;ElasticNet regression;409.5986637;0.465107041
28 Millas;ElasticNet regression;409.6491401;0.463717683
28 Millas;Ridge regression;409.6491808;0.47737663
28 Millas;Linear regression;409.6493396;0.477376692
28 Millas;ElasticNet regression;409.653672;0.491151089
28 Millas;ElasticNet regression;409.653672;0.491151089
28 Millas;ElasticNet regression;409.653672;0.491151089
28 Millas;ElasticNet regression;409.653672;0.491151089
28 Millas;ElasticNet regression;409.6607618;0.474953161
28 Millas;Ridge regression;409.6956677;0.466477344
28 Millas;Linear regression;409.6956923;0.46647735
28 Millas;Ridge regression;409.7664846;0.458335046
28 Millas;ElasticNet regression;409.7674963;0.470996181
28 Millas;Linear regression;409.7681553;0.458334595
28 Millas;Ridge regression;409.7995042;0.477627873
28 Millas;Linear regression;409.802057;0.477626582
28 Millas;ElasticNet regression;409.8209276;0.459630816
28 Millas;Ridge regression;409.8508409;0.47850561
28 Millas;Linear regression;409.8520218;0.47850556
28 Millas;Ridge regression;409.8576491;0.466886623
28 Millas;ElasticNet regression;409.8602647;0.509754502
28 Millas;ElasticNet regression;409.8602647;0.509754502
28 Millas;ElasticNet regression;409.8602647;0.509754502
28 Millas;Linear regression;409.8625016;0.466891734
28 Millas;SVR - linear kernel;409.8656734;0.490388894
28 Millas;ElasticNet regression;409.933556;0.466461862
28 Millas;ElasticNet regression;409.9422905;0.513465863
28 Millas;ElasticNet regression;409.9422905;0.513465863
28 Millas;ElasticNet regression;409.9422905;0.513465863
28 Millas;ElasticNet regression;409.9422905;0.513465863
28 Millas;ElasticNet regression;409.9574868;0.456817851
28 Millas;ElasticNet regression;409.9604299;0.472658846
28 Millas;Ridge regression;409.9781377;0.523856856
28 Millas;Ridge regression;409.9781377;0.523856856
28 Millas;Ridge regression;409.9781377;0.523856856
28 Millas;Ridge regression;409.9815307;0.474254549
28 Millas;Linear regression;409.9817647;0.474254973
28 Millas;Linear regression;409.9876629;0.523859272
28 Millas;Linear regression;409.9876629;0.523859272
28 Millas;Linear regression;409.9876629;0.523859272
