TAireMax;TAireMin;TempeAire;Humedad;MinHumed;MaxHumed;Rasolwm;Precipita;VelViMax;VelViento;Severidadhoja2;Severidadhoja3;Severidadhoja4;EstadoEvolucion
30.5;21.6;25.75;88.65;64;100;361;0.6;11.3;2.51;1240;1820;2300;4775.19
31.1;18.2;25.12;85.2;53;100;331;0.2;9.7;1.73;1320;2140;2360;4214.26
30.8;21.3;25.78;88.7;57;100;333;40.4;9.7;1.97;1380;2120;2300;4349.26
31.5;22.2;25.51;90.84;51;100;293;42.8;9.7;1.38;960;1440;2200;3962.57
30;22.3;25.46;92.97;68;100;243;59.8;11.3;1.18;1080;1480;1960;4952.07
30.7;22.6;26.02;91.94;69;100;313;23.6;9.7;1.57;960;1240;1920;3893.84
30.4;22.2;25.44;95.09;72;100;144;207;8;1.29;1340;1720;2020;4357.88
31.6;22.2;26.14;91.88;66;100;280;13.4;6.4;1.25;1280;1920;2080;3977.5
32.1;22.9;26.86;90.76;67;100;358;33.2;11.3;1.85;1260;2040;2260;4938.53
31.2;22.6;25.93;94.5;69;100;226;37;6.4;1.2;1640;2340;2380;5986.94
33.8;23.1;26.27;94.01;66;100;255;97.6;9.7;1.47;1220;2280;2380;5785.32
31.3;23;26.31;91.71;67;100;311;16.2;6.4;1.48;1280;2100;2360;5524.56
32.6;22.1;26.56;91.11;65;100;334;26.6;8;1.49;1510;2160;2400;6209.22
33.1;23.2;26.24;91.61;63;100;290;23.2;8;1.65;1400;1960;2380;6035.82
31.1;22.6;25.57;93.86;71;100;175;35;6.4;1.36;1540;2240;2340;5956.87
30.7;21.5;25.58;95.77;67;100;204;139.4;11.3;1.36;1400;2200;2380;6064.81
31.6;21.7;25.94;93.43;65;100;270;101.6;4.8;1.34;1420;2260;2360;5845.22
31.6;23.4;26.71;92.81;65;100;301;72.8;9.7;1.71;1640;2340;2400;5807.26
30.9;23.1;25.98;96.58;71;100;186;231.6;6.4;1.19;1720;2280;2380;5446.65
31.9;22.7;26.18;93.88;68;100;276;102.4;8;1.42;1740;2420;2380;5828.91
31.8;23.6;26.68;90.52;66;100;371;28;8;1.71;1600;2360;2380;5352.46
31.9;23.5;26.29;93.66;65;100;247;31.6;6.4;1.35;1500;2300;2400;6147.75
31.7;22.8;26.94;89.88;63;100;327;5.6;8;1.9;1320;2120;2380;5287.57
32.6;23.8;26.99;90.45;64;100;344;14.2;6.4;1.83;1180;2120;2400;5026.92
32.4;22.7;27.07;88.17;58;100;409;1.8;8;1.81;1380;2140;2320;5563.28
32.5;23.6;26.78;91.36;64;100;290;13.4;8;1.62;1360;2180;2380;5663.86
31.7;23.2;26.6;91.09;66;100;316;23.4;8;1.73;1460;2120;2380;5654.73
32;23.1;26.45;93.89;64;100;242;63.4;8;1.26;1200;2200;2360;4954.74
31.4;22.3;26.37;62.48;1;100;233;25.8;8;1.44;1400;2060;2380;4642.97
31;24.4;26.64;66.99;0;100;214;82;6.4;1.39;1340;2020;2280;4772.37
31.7;23.9;26.62;85.85;29;100;267;35;8;1.15;1280;2000;2320;5623.97
32.8;20.8;25.49;86.67;62;100;290;170.6;8;2.06;1420;2060;2260;5359.91
31.2;21.2;24.32;95.24;62;100;180;164.6;6.4;1.25;1280;2020;2360;4963.64
29.4;21.2;23.68;98.69;80;100;118;236;8;1.26;1380;2280;2380;4798.73
31.2;21.4;24.8;96.61;71;100;156;71.2;4.8;1.2;1460;2380;2380;4768.71
31.8;19.3;24.98;94.29;68;100;240;65.6;8;1.4;1540;2240;2400;5444.69
30.6;19.8;24.22;95.04;62;100;206;51.4;9.7;1.31;1640;2240;2360;5061.24
31.1;18.9;24.17;96.46;67;100;200;81.4;8;1.29;1460;2280;2340;4886.93
30.6;19.7;24.01;95.13;71;100;200;8.2;6.4;1.84;1300;2240;2400;4756.27
30.6;18.8;23.6;94.79;61;100;141;37.8;6.4;1.51;1440;2260;2380;5441.76
29.9;19.6;22.43;97.48;72;100;121;341.4;8;2.36;1220;1960;2360;4688.6
30.9;19.9;25.07;91.86;66;100;294;12.8;8;1.59;1420;2120;2280;4778.73
30.7;18.9;24.04;92.11;63;100;263;7;9.7;1.58;1000;1900;2220;4524.83
30.9;19.8;25.08;93.38;70;100;259;4;9.7;1.61;1460;1900;2180;5938.61
30.5;18.8;24.7;93.19;71;100;243;11.8;6.4;1.46;1440;2140;2220;5774.77
30.2;20.2;24.02;97.14;75;100;185;146.4;6.4;1.49;1500;2220;2300;5168.21
32.1;20.7;25.11;96.22;74;100;207;133.6;6.4;1.44;1140;2340;2360;5051.57
30.3;20.8;23.63;98.4;78;100;109;205.61;6.4;1.38;820;1660;2320;4401.2
31.4;20.6;24.57;94.33;71;100;247;7;8;1.69;1160;1840;2360;4056.02
32.1;19.9;25.23;94.08;60;100;262;62.4;8;1.68;1420;1900;2300;3896.74
31.8;20.8;25.7;93.52;67;100;306;72.2;8;1.6;1320;1920;2240;4369.48
31.8;20.6;25.52;92.13;60;100;208;17.4;8;1.67;1400;2100;2280;5409.72
31.2;20.7;25.37;93.31;69;100;282;16.4;9.7;1.86;1340;2080;2280;5699.19
31.1;21.5;25.37;93.98;70;100;282;49.6;8;1.6;1220;1940;2320;5386.28
32.6;21;26.74;93.29;68;100;354;8.6;8;1.75;1400;2160;2380;5705.18
33.4;22.9;27.12;93.9;72;100;309;47.6;6.4;1.55;920;1900;2240;5315.55
33.8;21.3;25.81;93.02;62;100;344;44.8;8;1.7;1120;1840;2240;5767.32
31.6;21.9;25.17;95.76;67;100;200;199.4;6.4;1.37;920;1700;2280;5286.15
32.7;22.6;26.82;93.66;67;100;289;25.8;6.4;1.36;1040;1860;2280;4929.54
31.9;22.5;26.25;95.25;76;100;258;195.6;6.4;1.27;1260;1860;2240;5220.56
33;21.9;27.16;87.78;64;100;326;12.8;6.4;1.66;1340;2300;2280;5749.56
32.2;21.8;25.56;92.64;40;100;279;107.4;6.4;1.32;1260;2200;2360;5797.14
31.6;21.4;25.12;94.1;40;100;211;77.2;9.7;1.49;1320;2280;2380;5448.13
32.8;20.8;26.66;90.38;66;100;308;12.2;6.4;1.59;1240;2320;2400;5684.72
33.3;21.3;26.42;86.21;58;99;268;6.8;8;1.52;1040;1840;2380;4935.21
32.3;22.1;26.1;89.46;65;100;254;62;8;1.46;1160;1980;2360;5471.04
31.7;21.8;24.98;94.74;71;100;159;43;4.8;1.01;1120;2060;2240;5038.3
32.9;21.8;26.78;88.28;58;100;327;0;8;1.85;1140;2100;2320;5286.74
32.3;21.7;26.02;91.38;65;100;247;7.4;6.4;1.35;940;1740;2260;5084
33;21.6;25.97;92.72;63;100;222;54;6.4;1.28;1100;1840;2360;5041.29
31.9;22.5;26.17;92.89;72;100;236;24;8;1.27;1080;1820;2160;5188.1
32.8;21.3;25.6;91.57;65;100;286;65;8;1.64;760;1720;2180;5174.39
32.4;22.2;25.85;92.32;66;100;280;42.2;6.4;1.55;980;1820;2300;5156.36
33.3;21.8;25.97;91.76;61;100;280;50;8;1.48;1460;1840;2240;5162.36
32.7;21.9;25.98;91.54;62;100;275;5.6;4.8;1.31;1100;1980;2180;5142.95
32.4;21.6;26.13;90.49;65;100;251;29.4;6.4;1.42;1300;2040;2280;5269.87
32.4;21.3;25.21;93.02;61;100;240;143.2;9.7;1.27;1180;2140;2360;4865.53
32.6;21.1;25.74;92;63;100;249;17.2;8;1.72;1220;2180;2340;5393.12
30.7;21.3;24.95;91.46;57;100;172;10;4.8;1.57;1220;2160;2360;5649.26
33;21.6;25.47;91.44;56;100;228;66.6;6.4;1.65;1060;2160;2380;5198.3
32.2;20.1;25.18;91.88;61;100;213;46.8;6.4;1.45;1320;2140;2380;5281.66
32.8;21.4;25.78;91.85;58;100;211;21.85;6.4;0.59;1120;2040;2240;5940.93
32.2;20.7;24.77;94.67;67;100;163;97.25;6.4;1.3;920;1900;2380;5253.16
29.4;18.7;23.51;93.22;64;100;169;44;4.8;1.65;1440;2060;2360;5126.36
31.5;19;24.59;90.05;55;100;254;50.8;8;1.4;1240;2200;2300;6138.08
30.7;20.4;23.8;96.45;69;100;160;117.8;4.8;1.11;1560;2420;2400;5942.5
30.4;19.5;23.47;95.93;63;100;159;376.4;6.4;1.32;1140;2100;2320;4885.34
29.7;17.8;22.37;95.2;61;100;160;97.6;6.4;2.02;1360;2160;2380;4688.45
29.2;19.3;22.33;94.95;67;100;155;77.4;6.4;1.78;1760;2360;2360;4046.76
29.4;19.3;22.4;95.46;54;100;151;178.6;6.4;1.96;1580;2200;2380;5485.19
29.2;19.3;22.36;97.74;73;100;87;210.2;11.3;1.78;1580;2200;2380;5485.19
28.8;18.8;23.17;95.06;65;100;165;82;8;1.54;1620;2340;2360;4651.2
29.3;20.2;23.38;97.78;63;100;135;382.8;9.7;1.57;1780;2240;2360;4491.57
30.8;19.1;24.35;91.32;57;100;220;1;9.7;1.76;1960;2460;2400;4534.74
31.3;17.9;23.79;88.72;52;100;286;12.6;11.3;1.34;1720;2340;2380;4281.99
30.1;16.6;23.5;91.46;59;100;199;24.6;9.7;1.42;1740;2320;2360;4476.2
30.7;19.1;24.31;88.35;62;100;284;31.4;11.3;2.14;1260;2140;2340;5077.89
30.3;20.2;24.19;92.76;63;100;259;93.6;12.9;1.92;1180;1940;2340;4511.28
31.1;19.4;24.4;88.39;49;100;297;6.4;12.9;2.3;1120;1740;2260;4322.91
29.2;19.1;23.84;92.22;59;100;244;223.4;9.7;1.99;880;1580;2080;3920.14
29.9;17.7;23.93;88.28;56;100;317;3.8;9.7;2.4;800;1400;1920;3948.53
29.7;18.5;23.66;88.99;58;100;276;14;11.3;2.38;1220;1820;2060;4399.5
31.2;19.8;24.34;88.65;58;100;278;10.8;9.7;2.06;1320;1940;2300;4460.16
31.4;19.3;25.75;89.3;59;100;278;0.4;9.7;2.31;1080;2120;2240;5070.15
31;20.5;24.55;93.05;64;100;207;39.8;14.5;1.98;1140;2060;2380;4904.4
30.2;19.4;24.81;87.07;50;100;313;19.2;9.7;2.42;1260;1860;2300;4929.35
30.3;19.8;25.04;86.57;56;100;201;0.6;12.9;2.93;1160;1960;2200;5598.98
32.1;20.4;25.94;88.41;56;100;311;20.4;11.3;2.6;1260;1820;2320;5192.36
31.2;19.9;25.01;93.47;63;100;230;115.2;9.7;1.75;1520;2060;2360;5048.57
31.4;22.1;25.57;94.93;68;100;181;138.6;8;1.47;940;1940;2200;5051.06
31.9;20.4;26.15;87.96;58;100;337;0;9.7;2.38;1160;1540;2240;5404.03
32.9;21.6;26.35;89.24;47;100;304;10;8;1.51;1300;1720;2120;5298.1
32.1;21.8;25.97;92.76;62;100;266;54.6;8;1.62;1400;2040;2220;5568.66
33.1;21.8;27.1;87.97;62;100;337;2.6;9.7;2.35;1080;2240;2340;5853.06
32.3;22.2;26.11;92.28;65;100;270;11.2;9.7;1.67;1160;1780;2380;5849
33.1;21.8;26.23;90.59;63;100;306;75.6;9.7;1.62;1260;1960;2360;5605.54
32.1;21.9;25.8;92.76;70;100;246;28.4;9.7;1.62;1040;2080;2320;5673.44
32.2;21.9;26.47;89.35;62;100;307;1.2;6.4;1.5;1060;1940;2360;5695.34
29.5;21.8;24.91;95.53;72;100;210;78.2;6.4;1.18;1140;1960;2240;5727.37
31.6;21;25.46;84.7;54;100;251;36.4;11.3;1.54;1340;2300;2280;5871.44
37.9;21.3;25.39;89.08;47;100;227;49.8;8;1.03;1100;2200;2360;5953.47
32.5;22.2;26.08;90.93;58;100;337;3.6;9.7;1.96;1340;2200;2380;5841.07
32.1;21.8;26.05;93.16;67;100;253;9.8;8;1.31;1320;2280;2380;6261.79
32.3;21.6;25.72;90.62;58;100;348;13.8;8;1.54;1360;2280;2400;5749.62
33.2;21.3;26.31;88.47;56;100;309;7.4;11.3;1.7;1180;1980;2380;6126.76
32.8;21.1;25.89;90.43;58;100;254;15.4;11.3;1.7;1320;2120;2360;5760.73
32.9;21.6;26.12;89.93;59;100;239;20.8;9.7;1.77;1120;1980;2340;5254.62
31.9;21.4;25.74;92.26;61;100;197;3.4;9.7;1.57;1180;1860;2280;5222.4
33.3;20.8;26.08;88.69;56;100;277;1;9.7;2;1240;2220;2340;5365.59
32.6;21.8;26.41;90.1;60;100;281;15.6;9.7;1.77;1220;1760;2260;5176.78
32.2;21.5;25.62;92.56;64;100;245;7.8;8;1.27;1120;1960;2160;5056.15
36.9;21.8;25.2;92.4;54;100;292;149.6;8;1.74;1200;2060;2320;5624.08
29.9;20.8;24.01;95.09;65;100;199;84;6.4;1.26;1280;2040;2360;5885.42
31.1;21.1;24.94;92.4;61;100;213;101.4;6.4;1.34;1320;2060;2340;5404.43
31;20.5;24.82;94.23;65;100;244;71;4.8;1.3;1720;2400;2340;5462.43
30.8;21;24.61;92.14;59;100;221;133.4;6.4;1.53;1220;2300;2400;5840.96
30.3;20.4;24.33;95.01;72;100;236;51.4;6.4;1.2;1620;2400;2380;5436.29
29.1;20.9;23.74;98.18;76;100;147;198.6;6.4;1.36;1300;2300;2400;5091.99
29.2;20;23.05;96.25;75;100;149;89.6;6.4;2.08;1600;2320;2400;5193.62
30;19.6;23.78;93.64;68;100;247;12;8;1.59;1660;2180;2380;4520.07
27.2;20.9;22.98;99.76;92;100;107;309.4;6.4;1.07;1480;2280;2320;4768.78
30.5;18.7;23.69;95.43;64;100;211;114;9.7;1.33;1840;2360;2340;5492.13
29.8;19.8;24.12;92.64;63;100;269;43.4;9.7;1.42;1500;2360;2400;5997.44
30.1;19.5;22.8;95.64;63;100;208;178;9.7;2;1840;2480;2400;6106.91
30.2;17.8;23.7;89.07;60;100;341;1.6;11.3;2.16;1500;2220;2400;5820.53
33.3;17.5;23.41;90.88;54;100;306;22.8;11.3;2.17;1720;2340;2380;5163.05
30.1;17.4;23.57;89.62;59;100;321;15.4;9.7;1.74;1200;2120;2320;4834.89
29.7;18.6;23.01;92.57;60;100;231;7.8;11.3;1.5;1400;2240;2280;4993.49
30.6;19.1;24.51;90.69;63;100;297;24.8;11.3;1.81;1200;2120;2380;4769.1
30.4;17.7;24.11;87.32;56;100;409;4;11.3;2.91;1220;1820;2220;5041.64
30.4;17.8;23.96;89.06;52;100;332;44;12.9;2.25;1080;1840;2200;4668.27
30.8;18.1;23.71;89.96;60;100;332;26.4;12.9;2.34;1220;2080;2280;5400.94
30.8;19.4;24.09;92.65;66;100;268;144.2;12.9;2.1;1040;1780;2200;4682.18
30.1;21.1;23.95;94.52;66;100;246;46;11.3;1.82;1320;1900;2320;4940.73
29.6;18.5;23.89;92.76;61;100;268;29.2;11.3;1.85;1160;2040;2140;4960.09
30.1;18.9;24.3;91.26;59;100;328;51;9.7;1.91;1360;2020;2320;5671.02
31;21.1;25.72;93.62;70;100;166;13.8;6.4;1.19;1380;2340;2360;5705.02
30.4;18.9;24.9;88.26;57;100;290;3;9.7;2.12;1240;2380;2400;5913.77
33.8;20.3;25.27;92.91;61;100;312;28.8;9.7;1.69;1200;2080;2400;5688.01
32.3;20.7;24.54;92.97;63;100;235;56;8;1.7;1200;2180;2340;5905.11
31.5;21.2;25.79;91.66;64;100;334;5;8;1.58;1160;1800;2360;5699.27
32.1;21.1;26.18;89.35;61;100;355;12.8;11.3;2.21;1260;1780;2340;5661.89
31.7;21.9;26.34;91.03;64;100;312;14;8;1.51;1080;1820;2080;5345.2
31.8;22.1;26.02;92.68;66;100;254;85;8;1.5;1200;1760;2260;5632.94
32.3;20.8;26.46;92.22;67;100;294;8.2;8;1.6;1340;1900;2140;6334.62
32.9;22.4;26.31;93.12;66;100;252;22.4;6.4;1.25;1200;1880;2160;6220.62
31.3;20.9;24.78;95.22;69;100;223;152.4;8;1.26;1560;2160;2280;6687.98
32.1;21.2;26.5;89.89;61;100;364;9.2;9.7;1.84;1380;2180;2320;5878.95
32.8;21.6;26.19;89.36;58;100;356;10.6;8;1.73;1400;2180;2360;6441.38
30;20.8;24.64;95.77;72;100;201;74.2;6.4;1.17;1760;2400;2400;5786.64
31.3;20.8;25.19;94.99;67;100;228;72.6;8;1.17;1440;2400;2380;6160.1
31.8;22.2;25.19;95.9;64;100;218;89.6;8;1.03;1420;2260;2400;6033.15
30.6;22.4;25.07;97.22;77;100;172;189.2;9.7;1.01;1400;2060;2320;5674.68
31.5;20.4;24.86;94.63;67;100;256;94;9.7;1.41;1720;2360;2360;5633.6
32.3;21.2;25.98;90.72;61;100;354;12.6;8;1.48;1620;2240;2400;6274.11
31.2;21.7;25.77;92.16;64;100;299;7;11.3;1.62;1980;2360;2400;6156.71
32.3;21.3;25.98;90.35;60;100;348;13.2;8;1.41;1800;2400;2380;6096.78
33;21.9;25.98;92.07;58;100;274;33.4;9.7;1.31;1620;2360;2400;6202.81
31.2;21.5;25.79;92.41;69;100;311;56.2;8;1.42;1500;2160;2400;5453.53
31.7;21.2;25.29;93.74;65;100;274;47;8;1.22;1500;2120;2340;6144.97
32.4;21;25.82;91.24;62;100;351;6;8;1.52;1340;1960;2340;5392.1
31.7;21.1;25.39;92.96;66;100;291;48;6.4;1.24;1160;1760;2200;5288.67
31.3;19.5;25.08;92.99;65;100;280;44;9.7;1.39;1280;1940;2320;5702.69
31.8;20.6;25.13;93.69;66;100;290;11.8;11.3;1.16;1380;2240;2380;5479.04
32;20.7;25.17;93;62;100;281;44;8;1.33;1400;2100;2320;5644.91
33.6;20.7;25.72;92.48;61;100;284;49.6;6.4;1.22;1580;2220;2360;6399.82
31.9;20.3;24.24;95.08;55;100;186;34.2;6.4;1.34;1420;2360;2340;5711.4
31.3;20.6;24.68;94.19;67;100;213;148.4;8;1.3;1420;2400;2400;5648
29.8;20.1;24.1;96.25;73;100;180;161.4;6.4;1.23;1520;2100;2360;5521.46
26.1;20.6;22.38;97.5;72;100;92;223.2;4.8;0.64;1600;2120;2380;5400.21
30.56;20.3;24.47;93.22;63.48;100;58;93.9;5.45;0.43;1720;2260;2340;5422.17
31.5;20.06;24.81;89.58;54.02;100;2;44.6;5.45;1.06;1640;2500;2400;5970.76
32.64;19.58;25.1;90.54;55.66;100;1;32.2;6.95;0.95;1620;2360;2400;5723.1
31.22;19.62;24.49;88.96;53.56;100;103;15.3;6.7;0.93;1800;2380;2380;5652.02
31.1;20.64;24.38;95.65;64.75;100;219;138.3;6.2;0.86;;;;
30.89;19.38;24.32;91.01;54.26;100;286;75.8;8.45;1.11;1300;2180;2360;4754.58
31.5;19.8;25.02;88.23;56.25;100;361;10.5;7.45;1.23;1420;2080;2360;5017.93
31.69;18.75;24.05;88.42;53;100;319;4.1;9.45;1.12;1420;1980;2320;5108.49
31.58;19.04;24.72;86.95;49.39;100;371;20.3;6.45;1.29;1300;2020;2240;5251.11
30.97;17.38;24.02;90.17;52.46;100;297;18.4;7.45;1.05;1340;2220;2320;5117.02
31.77;18.39;24.15;86.32;50.11;100;407;2;6.95;1.22;1100;1760;2360;4878.08
32.13;17.51;24.42;87.19;49.74;100;373;26.7;6.7;1.2;1180;1980;2180;5221.17
31.95;19.1;24.69;87.27;46.25;100;329;22.8;6.2;1.28;1300;1940;2240;4783.51
31.86;20.12;24.57;93.46;58.12;100;220;92.5;4.95;0.82;1100;1860;2100;4664.65
29.82;18.49;23.41;95.53;69.05;100;212;160.7;8.45;1.12;1240;2000;2300;5071.86
31.38;17.49;24.28;91.71;59.57;100;287;41.2;6.7;1.18;1260;1860;2340;4949.17
31.41;20.34;25.61;88.38;59.35;100;377;0;7.45;1.4;1240;2120;2260;5826.58
32.53;18.61;25.17;88.91;52.36;100;374;63.1;6.2;1.15;;;;
32.23;20.76;25.63;91.71;55.71;100;302;43.7;6.2;1.02;1280;2300;2380;5830.36
32.19;20.5;26.04;88.49;53.98;100;381;29.7;7.45;1.42;1020;2040;2360;5275.69
32.73;21.44;26.07;91.05;62.32;100;303;87.2;7.2;1.22;1260;1940;2380;5257.47
32.24;19.55;25.07;89.66;55.61;100;369;32.9;6.7;1.01;1360;1740;2360;5210.08
33.93;20;26.1;86.91;51.98;100;372;7.4;6.7;1.21;1360;2260;2320;5592.46
33.18;18.9;25.64;86.69;47.95;100;417;11.9;5.95;1.07;1180;1980;2340;5490.3
31.84;19.98;24.66;94.66;58.42;100;234;153.4;7.7;0.73;1480;2280;2320;5532.88
32.5;22.2;26.04;92.32;60.81;100;303;5;6.2;0.88;1480;2420;2380;5358.04
32.8;22.19;26.05;91.08;58.37;100;331;32.1;5.2;0.99;1300;2180;2400;5187.36
33.5;21.81;26.61;89.05;57.16;100;369;6.4;6.45;1.13;1360;2160;2380;4618.93
32.82;20.78;26.04;91.36;57.19;100;318;25.6;7.2;0.99;1600;2420;2380;5510.28
33.71;21.56;26.57;91.37;55.63;100;329;27.2;12.2;0.98;1320;2420;2380;5682.15
31.48;21;25.24;93.6;64.7;100;236;78.3;5.45;0.84;1160;2140;2400;5731.43
33.05;21.69;26.23;89.27;58.62;100;388;28.3;7.7;1.24;1120;2000;2400;5375.17
32.93;22.14;25.75;92.37;58.89;100;304;15.7;5.95;1;1200;2300;2360;5898.96
32.31;21.23;25.82;92.68;64.94;100;277;26.6;6.2;0.95;1320;2160;2380;5406.55
31.93;22.35;25.07;96.3;69.39;100;196;154.4;7.45;0.76;1240;2240;2360;5688.26
31.96;21.56;25.02;94.77;67.72;100;247;63.8;7.2;0.91;1840;2460;2400;5640.88
32.39;21.71;25.85;90.99;62.06;100;344;13.2;6.95;0.97;1380;2400;2400;5763.18
32.77;21.36;26.24;90.9;58.76;100;342;49.7;5.45;1.07;1140;2180;2340;6258.76
33.01;21.51;26.11;90.6;56.97;100;364;113.1;7.7;0.89;1580;2380;2400;6808.9
33.26;21.04;25.29;92.64;57.18;100;291;51.7;6.95;0.83;1120;2280;2400;5932.83
32.92;21.33;26.04;89.25;58.47;100;393;3.2;6.45;1.03;1320;2340;2400;5610.78
33.26;21.14;26.42;88.46;59.3;100;398;28.1;5.95;1.08;1040;1760;2320;5434.71
33.32;22;26.85;89.95;58.84;100;372;4.8;5.7;1.05;1320;1980;2320;5373.44
33.48;20.64;26.21;91.02;55.62;100;338;34.8;10.95;1.07;960;1820;2360;5735.3
33.47;21.41;25.92;91.48;57.19;100;332;68.2;6.45;0.97;880;2060;2340;5132.75
33.16;20.92;26.43;90.16;58.5;100;357;9;6.2;0.95;1040;1900;2280;6264.35
32.97;20.06;25.51;91.44;55.28;100;349;22.9;5.7;0.98;1280;2240;2360;6218.9
32.8;21.21;25.6;93.02;61.58;100;273;5.1;5.2;0.73;880;2240;2320;5513.76
32.86;21.04;26.51;89.09;56.16;100;345;18.6;5.95;1;1220;2380;2380;5186.78
33.36;20.41;26.15;88.81;53.53;100;353;3.1;5.45;0.93;1240;2160;2380;6125.64
32.06;21.76;25.07;95.29;62.97;100;222;42.8;6.95;0.69;1440;2380;2340;5364.96
32.66;20.28;25.78;90.31;52.97;100;355;4.7;5.7;0.87;880;2180;2400;5102.61
32.08;20.92;24.78;92.99;61.41;100;284;177.6;6.95;0.86;1240;2140;2380;5267.54
31.99;19.07;25.21;89.09;58.47;100;367;5;5.95;1.03;1320;1960;2360;5069
32.68;19.33;24.91;91.49;54.36;100;309;17.3;6.7;0.81;1460;2200;2280;5197.84
31.57;20.19;24;94.62;58.13;100;231;79.1;6.7;0.98;1360;2200;2280;5078.68
31.65;18.39;24.45;87.39;48.26;100;381;2;6.2;1.08;;;;
31.73;19.46;24.57;92.89;54.94;100;281;33.5;5.7;0.95;;;;
31.35;19.09;24.52;92.19;58.33;100;279;21.1;5.7;0.89;1240;1980;2300;4725.45
31.31;18.56;23.85;92.64;57.37;100;295;80.4;5.95;1.17;1560;2360;2360;5331.29
30.68;18.42;23.77;92.8;54.99;100;272;38.2;4.95;0.99;1460;2380;2360;4949.17
31.32;17.22;23.76;88.43;50.34;100;337;3.7;6.2;1.09;1480;2300;2380;5093.21
31.35;18.09;23.94;89.24;46.3;100;330;5.7;6.2;1.1;1600;2380;2360;4963.32
31.76;20.71;25.1;89.75;57.86;100;343;21;7.2;1.23;1620;2260;2360;5021.4
31.14;17.69;24.13;87.26;52.27;100;396;5.6;7.2;1.46;1460;2300;2360;5248.58
30.66;19.11;24.81;88.84;55.99;100;336;9;5.95;1.23;1360;2320;2340;5403.09
32.05;19.05;24.94;87.27;51.53;100;395;10.7;7.2;1.21;1080;1940;2360;4830.73
31.72;19.45;25.15;85.33;51.55;100;428;0.3;6.95;1.41;;;;
31.83;18.13;24.77;88.32;54.99;100;354;9.6;7.7;1.14;1000;2040;2300;4701.42
31.58;19.61;25.09;88.63;53.82;100;351;14.2;6.7;1.17;740;1500;2260;4113.93
32.07;19.48;25.5;86.99;52.99;100;417;20.2;6.45;1.58;1280;1980;2340;4541.86
32.81;20.85;25.8;90.87;56.11;100;310;95.6;7.7;1.39;1140;1900;2340;4324.61
32.02;20.85;25.46;90.96;52;100;304;16.9;6.2;1.21;;;;
32.21;21.38;25.82;91.76;59.18;100;321;63.4;7.7;1.12;920;2000;2260;4541.51
32.74;21.48;25.95;94.02;59.74;100;298;69.6;6.95;1.01;1200;2160;2260;4890.52
33.47;20.65;26.38;90.23;54.21;100;361;65.3;6.95;1.44;1200;2200;2340;5475.22
32.83;22.17;26.18;90.34;60.89;100;356;34.2;6.95;1.21;1400;2260;2380;5801.04
33.26;21.66;26.48;89.44;56.31;100;385;26.9;6.95;1.14;1280;2300;2320;5659.28
33.05;22.66;26.61;91.04;60.61;100;342;45;6.2;1.09;1120;2140;2360;5811.07
32.75;23.09;26.43;93.23;68.48;100;272;52.6;6.2;1.09;1160;2080;2340;5501.03
32.94;22.68;26.13;94.37;65.3;100;241;39;6.2;1.01;1260;2260;2360;5413.32
33.37;22.11;26.67;91.35;61.76;100;395;141.6;6.95;1.41;1120;2080;2360;5328.65
32.29;22.51;25.76;94.55;67.83;100;254;94.2;6.2;0.98;1780;2260;2400;5969.69
32.93;21.73;26.11;92.21;53.03;100;300;80.7;6.95;1;1660;2420;2360;5979.5
32.57;22.73;25.1;97.09;67.92;100;170;245.7;7.7;1.04;1880;2440;2380;6141.6
31.55;22.43;25.75;96.15;69.67;100;206;57.1;7.7;0.77;1940;2540;2400;5518.31
32.66;23.08;25.79;96.08;65.68;100;227;101.2;6.2;0.97;2020;2520;2360;5339.59
31.83;22.47;25.75;94.84;68.36;100;253;246.1;6.2;1.04;;;;
32.94;21.82;25.97;91.98;58.78;100;307;24;6.2;0.95;2000;2480;2380;5229.55
33.33;21.99;26.16;91.79;55.51;100;288;114.6;6.95;1.03;1900;2400;2380;4704.12
31.1;21.54;25.15;94.14;62.32;100;232;146.1;6.2;0.87;1660;2280;2320;4701.23
33.87;21.48;26.14;89.26;51.65;100;352;13.9;6.2;1.04;1620;2440;2380;5838.14
32.95;21.51;26.08;92.11;60.47;100;289;42;9.2;1.01;1440;2200;2380;5042.76
33.79;20.84;26.09;90.18;53.89;100;340;74.7;10.7;1.17;1480;2240;2360;4795.47
32.1;21.81;25.71;93;65.33;100;298;104.5;8.45;1.11;1560;2220;2360;4866.94
33.8;21.48;26.44;89.26;57.15;100;365;18.5;6.2;1.17;1680;2300;2360;4800.35
33.85;20.18;25.85;91.14;57.79;100;288;82;10.7;1.11;1200;2160;2340;5341.27
32.68;21.3;25.57;93.44;61.62;100;297;84.7;7.7;0.91;1740;2320;2380;5306.7
32.67;22.46;26.22;92.47;61.03;100;291;10;6.2;0.9;1200;2360;2400;5092.33
34.26;21.67;26.8;90.52;59.4;100;335;1.7;6.2;1.03;1380;2320;2360;5263.19
32.41;21.24;25.53;92.16;60.14;100;266;78.8;6.2;0.99;1420;2280;2340;5462.91
32.58;21.24;24.7;96.13;61.97;100;184;194.6;5.45;0.95;1640;2360;2360;5137.14
32.97;18.91;25.28;90.23;51.65;100;272;7;5.45;1.09;1460;2440;2400;5145.79
